日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 03	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	13	0	0.00	0.00
2014-08-21 04	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	8	0	0.00	0.00
2014-08-21 04	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	2	1	5.92	5.92
2014-08-21 04	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	6	0	0.00	0.00
2014-08-21 04	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	16	0	0.00	0.00
2014-08-21 04	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	16	2	7.75	3.88
2014-08-21 05	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	1	0	0.00	0.00
2014-08-21 05	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	7	0	0.00	0.00
2014-08-21 05	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	2	0	0.00	0.00
2014-08-21 05	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	2	0	0.00	0.00
2014-08-21 05	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	4	0	0.00	0.00
2014-08-21 05	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	31	3	8.27	2.76
2014-08-21 05	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	12	0	0.00	0.00
2014-08-21 06	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	1	0	0.00	0.00
2014-08-21 06	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	2	0	0.00	0.00
2014-08-21 06	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	4	0	0.00	0.00
2014-08-21 06	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	48	1	1.78	1.78
2014-08-21 06	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	11	1	2.98	2.98
2014-08-21 07	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	3	0	0.00	0.00
2014-08-21 07	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	10	0	0.00	0.00
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	2	0	0.00	0.00
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	5	0	0.00	0.00
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	12	2	12.93	6.46
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	44	4	6.86	1.72
2014-08-21 07	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	22	1	3.93	3.93
2014-08-21 08	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	6	1	5.66	5.66
2014-08-21 08	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	27	0	0.00	0.00
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	22	0	0.00	0.00
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	13	0	0.00	0.00
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	25	0	0.00	0.00
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	197	15	31.17	2.08
2014-08-21 08	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1108	20	57.85	2.89
2014-08-21 08	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	12	1	6.15	6.15
2014-08-21 08	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	100	6	26.45	4.41
2014-08-21 09	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	40	3	18.24	6.08
2014-08-21 09	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	65	1	1.80	1.80
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	87	6	30.72	5.12
