日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 06	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	5	1	0.30	0.30
2014-08-21 06	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	7	2	1.40	0.70
2014-08-21 06	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	3	0	0.00	0.00
2014-08-21 06	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	15	1	0.56	0.56
2014-08-21 06	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	21	4	4.57	1.14
2014-08-21 07	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	8	2	4.40	2.20
2014-08-21 07	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	59	3	4.10	1.37
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	11	0	0.00	0.00
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	8	2	1.06	0.53
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	2	1	0.74	0.74
2014-08-21 07	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	44	2	1.02	0.51
2014-08-21 07	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	19	1	1.22	1.22
2014-08-21 08	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	14	1	1.30	1.30
2014-08-21 08	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	76	12	16.94	1.41
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	9	4	9.40	2.35
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	10	4	3.68	0.92
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	3	0	0.00	0.00
2014-08-21 08	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	62	8	7.59	0.95
2014-08-21 08	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	342	5	7.17	1.43
2014-08-21 08	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	10	1	0.94	0.94
2014-08-21 08	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	29	1	2.33	2.33
2014-08-21 09	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	13	1	1.00	1.00
2014-08-21 09	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	121	14	19.17	1.37
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	24	2	2.90	1.45
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	13	0	0.00	0.00
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	16	0	0.00	0.00
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	85	7	6.85	0.98
2014-08-21 09	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	359	7	10.20	1.46
2014-08-21 09	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	5	0	0.00	0.00
2014-08-21 09	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	23	2	4.69	2.34
2014-08-21 10	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	30	3	3.77	1.26
2014-08-21 10	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	187	27	44.07	1.63
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	19	4	7.95	1.99
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	16	2	2.47	1.24
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	10	4	7.68	1.92
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	30	6	7.42	1.24
2014-08-21 10	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	386	9	14.78	1.64
2014-08-21 10	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	7	0	0.00	0.00
2014-08-21 10	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	43	4	6.09	1.52
2014-08-21 11	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	12	1	0.45	0.45
2014-08-21 11	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	204	24	43.26	1.80
2014-08-21 11	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	21	1	1.92	1.92
2014-08-21 11	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	19	2	2.62	1.31
2014-08-21 11	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	17	0	0.00	0.00
2014-08-21 11	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	1	1	0.99	0.99
2014-08-21 11	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	407	9	13.75	1.53
2014-08-21 11	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	7	2	2.74	1.37
2014-08-21 11	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	38	1	2.04	2.04
2014-08-21 12	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	22	2	0.97	0.48
2014-08-21 12	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	31	2	3.83	1.92
2014-08-21 12	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	7	4	3.16	0.79
2014-08-21 12	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	13	1	0.54	0.54
2014-08-21 12	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	388	9	13.99	1.55
2014-08-21 12	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	8	0	0.00	0.00
2014-08-21 12	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	24	1	2.94	2.94
2014-08-21 13	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	14	2	1.15	0.58
2014-08-21 13	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	18	2	4.54	2.27
2014-08-21 13	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	24	6	2.73	0.46
2014-08-21 13	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	18	3	2.39	0.80
2014-08-21 13	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	521	6	10.01	1.67
2014-08-21 13	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	10	1	0.63	0.63
2014-08-21 13	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	35	7	12.04	1.72
2014-08-21 14	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	19	2	0.60	0.30
2014-08-21 14	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	33	3	4.16	1.39
2014-08-21 14	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	15	3	3.97	1.32
2014-08-21 14	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	8	2	5.19	2.60
2014-08-21 14	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	474	11	17.89	1.63
2014-08-21 14	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	12	1	0.69	0.69
