日期	账户ID	账户	推广计划ID	推广计划	推广单元ID	推广单元	关键词keywordID	关键词ID	关键词	展现量	点击量	消费	平均点击价格
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913299	1473271978	昆明同德广场房价	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913455	1473272021	昆明花香四季怎么样	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747912516	1473272026	昆明花香四季房产	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747912558	1473272029	昆明朗悦湾介绍	10	1	3.21	3.21
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913011	1473272051	昆明查询葡萄街区	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913482	1473272063	昆明朗悦湾均价	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913536	1473272086	昆明朗悦湾在线	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747912510	1473272116	昆明花香四季介绍	23	4	8.46	2.12
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913461	1473272122	昆明热销花香四季	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913743	1473272159	昆明葡萄街区介绍	8	1	0.39	0.39
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747913539	1473272162	昆明朗悦湾售楼电话	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747912696	1473272173	昆明同德广场小区	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	536529179	城市竞品词	8747912492	1473272190	昆明花香四季新房	1	1	0.38	0.38
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381881	431847	昆明房地产信息	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381422	441552	昆明房产信息	7	2	1.37	0.68
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381428	441627	昆明房产信息网	15	3	3.61	1.20
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381440	3917208	昆明楼盘信息	10	3	5.08	1.69
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381872	3933785	昆明房屋信息	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381434	3933824	昆明房产网	13	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381869	6195224	昆明房地产网站	1	1	2.45	2.45
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381707	7396784	昆明新房	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381956	9974016	昆明买房	30	3	6.39	2.13
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381560	10753586	昆明买房网	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8949081942	10753620	昆明市房产信息	8	2	3.43	1.72
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381830	10753665	昆明新房信息	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381539	10909457	昆明学区房	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381566	10909459	昆明房价格	4	1	1.55	1.55
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381782	11620811	昆明楼盘	12	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381752	15381397	昆明房价	142	21	40.00	1.90
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381713	63469417	昆明新楼盘	16	2	3.45	1.72
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381695	67618245	昆明购房	20	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8949081918	68535233	昆明市房产	52	3	3.26	1.09
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381554	73467610	昆明的房价	12	1	0.30	0.30
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381803	78463154	昆明房源	16	3	6.97	2.32
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381833	90291990	昆明市房价	3	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381848	90732749	昆明最新楼盘	97	12	19.00	1.58
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381791	95904339	昆明房价网	9	1	0.57	0.57
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381851	97602151	昆明团购房	3	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381725	103010389	昆明房产网站	9	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8949081927	122802869	昆明市房地产	39	3	4.76	1.59
